id,time,allocated,idle,other,total
202,2021-03-12 19:12:34,6965,6467,128,13560
203,2021-03-12 19:27:34,6990,6442,128,13560
204,2021-03-12 19:42:34,6982,6450,128,13560
205,2021-03-12 19:57:34,7006,6426,128,13560
206,2021-03-12 20:12:34,6949,6483,128,13560
207,2021-03-12 20:27:34,7067,6365,128,13560
208,2021-03-12 20:42:34,7134,6298,128,13560
209,2021-03-12 20:57:34,7197,6235,128,13560
210,2021-03-12 21:12:34,7166,6266,128,13560
211,2021-03-12 21:27:34,6997,6435,128,13560
212,2021-03-12 21:42:34,6891,6541,128,13560
213,2021-03-12 21:57:34,6752,6680,128,13560
214,2021-03-12 22:12:34,6737,6695,128,13560
215,2021-03-12 22:27:34,6713,6719,128,13560
216,2021-03-12 22:42:34,6629,6803,128,13560
217,2021-03-12 22:57:34,6734,6698,128,13560
218,2021-03-12 23:12:34,6921,6511,128,13560
219,2021-03-12 23:27:34,6870,6562,128,13560
220,2021-03-12 23:42:34,6811,6621,128,13560
221,2021-03-12 23:57:34,6707,6725,128,13560
222,2021-03-13 00:12:34,6676,6756,128,13560
223,2021-03-13 00:27:34,6575,6857,128,13560
224,2021-03-13 00:42:34,6642,6790,128,13560
225,2021-03-13 00:57:34,6779,6653,128,13560
226,2021-03-13 01:12:34,6770,6662,128,13560
227,2021-03-13 01:27:34,6678,6754,128,13560
228,2021-03-13 01:42:34,6653,6779,128,13560
229,2021-03-13 01:57:34,6511,6921,128,13560
230,2021-03-13 02:12:34,6547,6885,128,13560
231,2021-03-13 02:27:35,6354,7078,128,13560
232,2021-03-13 02:42:35,6301,7131,128,13560
233,2021-03-13 02:57:35,6257,7175,128,13560
234,2021-03-13 03:12:35,6242,7190,128,13560
235,2021-03-13 03:27:35,6269,7163,128,13560
236,2021-03-13 03:42:35,6264,7168,128,13560
237,2021-03-13 03:57:35,6458,6974,128,13560
238,2021-03-13 04:12:35,6458,6974,128,13560
239,2021-03-13 04:27:35,6489,6943,128,13560
240,2021-03-13 04:42:35,6409,7023,128,13560
241,2021-03-13 04:57:35,6342,7090,128,13560
242,2021-03-13 05:12:35,6225,7207,128,13560
243,2021-03-13 05:27:35,6210,7222,128,13560
244,2021-03-13 05:42:35,5960,7472,128,13560
245,2021-03-13 05:57:35,5949,7483,128,13560
246,2021-03-13 06:12:35,5868,7564,128,13560
247,2021-03-13 06:27:35,5987,7445,128,13560
248,2021-03-13 06:42:35,6016,7416,128,13560
249,2021-03-13 06:57:35,6041,7391,128,13560
250,2021-03-13 07:12:35,6040,7392,128,13560
251,2021-03-13 07:27:35,5938,7494,128,13560
252,2021-03-13 07:42:35,5959,7473,128,13560
253,2021-03-13 07:57:35,5957,7475,128,13560
254,2021-03-13 08:12:35,5991,7441,128,13560
255,2021-03-13 08:27:35,5846,7586,128,13560
256,2021-03-13 08:42:35,5906,7526,128,13560
257,2021-03-13 08:57:35,6177,7255,128,13560
258,2021-03-13 09:12:35,6181,7251,128,13560
259,2021-03-13 09:27:36,6157,7275,128,13560
260,2021-03-13 09:42:36,6049,7351,160,13560
261,2021-03-13 09:57:36,6013,7387,160,13560
262,2021-03-13 10:12:36,6014,7386,160,13560
263,2021-03-13 10:27:36,5894,7506,160,13560
264,2021-03-13 10:42:36,5647,7753,160,13560
265,2021-03-13 10:57:36,5734,7666,160,13560
266,2021-03-13 11:12:36,5516,7884,160,13560
267,2021-03-13 11:27:36,5639,7761,160,13560
268,2021-03-13 11:42:36,5955,7445,160,13560
269,2021-03-13 11:57:36,6047,7353,160,13560
270,2021-03-13 12:12:36,6418,6982,160,13560
271,2021-03-13 12:27:36,6341,7059,160,13560
272,2021-03-13 12:42:36,6466,6934,160,13560
273,2021-03-13 12:57:36,6481,6919,160,13560
274,2021-03-13 13:12:36,6861,6539,160,13560
275,2021-03-13 13:27:36,6474,6926,160,13560
276,2021-03-13 13:42:36,6832,6568,160,13560
277,2021-03-13 13:57:36,6907,6493,160,13560
278,2021-03-13 14:12:36,7276,6124,160,13560
279,2021-03-13 14:27:36,7424,5976,160,13560
280,2021-03-13 14:42:36,7493,5907,160,13560
281,2021-03-13 14:57:36,7246,6154,160,13560
282,2021-03-13 15:12:36,7124,6276,160,13560
283,2021-03-13 15:27:36,7096,6304,160,13560
284,2021-03-13 15:42:37,6886,6514,160,13560
285,2021-03-13 15:57:37,7080,6320,160,13560
286,2021-03-13 16:12:37,7129,6271,160,13560
287,2021-03-13 16:27:37,7357,6043,160,13560
288,2021-03-13 16:42:37,7470,5930,160,13560
289,2021-03-13 16:57:37,7528,5872,160,13560
290,2021-03-13 17:12:37,7317,6083,160,13560
291,2021-03-13 17:27:37,7220,6180,160,13560
292,2021-03-13 17:42:37,7015,6385,160,13560
293,2021-03-13 17:57:37,6813,6587,160,13560
294,2021-03-13 18:12:37,6622,6778,160,13560
295,2021-03-13 18:27:37,6395,7005,160,13560
296,2021-03-13 18:42:37,6343,7057,160,13560
297,2021-03-13 18:57:37,6333,7067,160,13560
298,2021-03-13 19:12:37,6372,7028,160,13560
299,2021-03-13 19:27:37,6435,6965,160,13560
300,2021-03-13 19:42:37,6458,6942,160,13560
301,2021-03-13 19:57:37,6441,6959,160,13560
302,2021-03-13 20:12:37,6472,6928,160,13560
303,2021-03-13 20:27:37,6484,6916,160,13560
304,2021-03-13 20:42:37,6494,6906,160,13560
305,2021-03-13 20:57:37,6302,7098,160,13560
306,2021-03-13 21:12:37,6240,7160,160,13560
307,2021-03-13 21:27:37,7448,5952,160,13560
308,2021-03-13 21:42:37,7466,5934,160,13560
309,2021-03-13 21:57:38,7333,6067,160,13560
310,2021-03-13 22:12:38,7216,6184,160,13560
311,2021-03-13 22:27:38,7199,6201,160,13560
312,2021-03-13 22:42:38,7142,6258,160,13560
313,2021-03-13 22:57:38,7257,6143,160,13560
314,2021-03-13 23:12:38,7229,6171,160,13560
315,2021-03-13 23:27:38,7234,6166,160,13560
316,2021-03-13 23:42:38,7302,6098,160,13560
317,2021-03-13 23:57:38,7375,6025,160,13560
318,2021-03-14 00:12:38,7597,5803,160,13560
319,2021-03-14 00:27:38,7492,5908,160,13560
320,2021-03-14 00:42:38,7375,6025,160,13560
321,2021-03-14 00:57:38,7295,6105,160,13560
322,2021-03-14 01:12:38,7176,6224,160,13560
323,2021-03-14 01:27:38,7364,6036,160,13560
324,2021-03-14 01:42:38,6916,6484,160,13560
325,2021-03-14 01:57:38,6968,6432,160,13560
326,2021-03-14 03:12:38,6905,6495,160,13560
327,2021-03-14 03:27:38,6866,6534,160,13560
328,2021-03-14 03:42:38,6761,6639,160,13560
329,2021-03-14 03:57:39,6607,6793,160,13560
330,2021-03-14 04:12:39,6581,6819,160,13560
331,2021-03-14 04:27:39,6523,6877,160,13560
332,2021-03-14 04:42:39,6359,7041,160,13560
333,2021-03-14 04:57:39,6132,7268,160,13560
334,2021-03-14 05:12:39,6133,7267,160,13560
335,2021-03-14 05:27:39,6119,7281,160,13560
336,2021-03-14 05:42:39,6022,7378,160,13560
337,2021-03-14 05:57:39,5893,7507,160,13560
338,2021-03-14 06:12:39,5893,7507,160,13560
339,2021-03-14 06:27:39,5862,7538,160,13560
340,2021-03-14 06:42:39,5861,7539,160,13560
341,2021-03-14 06:57:39,5927,7473,160,13560
342,2021-03-14 07:12:39,5690,7710,160,13560
343,2021-03-14 07:27:39,5632,7768,160,13560
344,2021-03-14 07:42:39,5713,7687,160,13560
345,2021-03-14 07:57:39,5741,7659,160,13560
346,2021-03-14 08:12:39,5736,7664,160,13560
347,2021-03-14 08:27:39,5748,7652,160,13560
348,2021-03-14 08:42:39,5717,7683,160,13560
349,2021-03-14 08:57:39,5753,7647,160,13560
350,2021-03-14 09:12:39,5802,7598,160,13560
351,2021-03-14 09:27:39,5739,7661,160,13560
352,2021-03-14 09:42:40,5932,7468,160,13560
353,2021-03-14 09:57:40,5904,7496,160,13560
354,2021-03-14 10:12:40,5886,7514,160,13560
355,2021-03-14 10:27:40,5985,7415,160,13560
356,2021-03-14 10:42:40,6219,7181,160,13560
357,2021-03-14 10:57:40,6018,7382,160,13560
358,2021-03-14 11:12:40,5922,7478,160,13560
359,2021-03-14 11:27:40,5879,7521,160,13560
360,2021-03-14 11:42:40,6035,7365,160,13560
361,2021-03-14 11:57:40,6062,7338,160,13560
362,2021-03-14 12:12:40,6074,7326,160,13560
363,2021-03-14 12:27:40,5988,7412,160,13560
364,2021-03-14 12:42:40,6032,7368,160,13560
365,2021-03-14 12:57:40,6171,7229,160,13560
366,2021-03-14 13:12:40,6382,7018,160,13560
367,2021-03-14 13:27:40,6565,6835,160,13560
368,2021-03-14 13:42:40,6795,6605,160,13560
369,2021-03-14 13:57:40,6794,6606,160,13560
370,2021-03-14 14:12:40,6919,6481,160,13560
371,2021-03-14 14:27:40,6477,6923,160,13560
372,2021-03-14 14:42:40,7208,6192,160,13560
373,2021-03-14 14:57:40,6898,6502,160,13560
374,2021-03-14 15:12:40,6814,6586,160,13560
375,2021-03-14 15:27:40,6769,6631,160,13560
376,2021-03-14 15:42:40,7272,6128,160,13560
377,2021-03-14 15:57:41,7590,5810,160,13560
378,2021-03-14 16:12:41,7402,5998,160,13560
379,2021-03-14 16:27:41,7431,5969,160,13560
